category,product_name,product_url
Face Masks,"Biodance – Hydro Cera-Nol Real Deep Mask, 34g x 4pcs",https://qudobeauty.com/product/biodance-hydro-cera-nol-real-deep-mask-34g-x-4pcs/
Face Masks,"COSRX – Advanced Snail Mucin Power Sheet Mask, 25ml",https://qudobeauty.com/product/advanced-snail-mucin-power-sheet-mask-25ml/
Face Masks,"Dr. Althea – Marine Anti-Blemish Sheet Mask, 1 pc x 27g",https://qudobeauty.com/product/marine-anti-blemish-sheet-mask-1-pc-x-27g/
Face Masks,"Heimish – Black Tea Mask Pack, 110ml",https://qudobeauty.com/product/heimish-black-tea-mask-pack-110-ml/
Moisturizers,"Anua – Peach 77% Niacin Enriched Cream, 50ml",https://qudobeauty.com/product/anua-peach-77-niacin-enriched-cream-50ml/
Moisturizers,"Anua – Heartleaf 70% Intense Calming Cream, 50ml",https://qudobeauty.com/product/anua-heartleaf-70-intense-calming-cream-50-ml/
Moisturizers,"Anua – Heartleaf 70% Daily Lotion, 200ml",https://qudobeauty.com/product/anua-heartleaf-70-daily-lotion-200ml/
Moisturizers,"APLB – Glutathione Niacinamide Facial Cream, 55ml",https://qudobeauty.com/product/aplb-glutathione-niacinamide-facial-cream-55ml/
Moisturizers,"AXIS-Y – Biome Ultimate Indulging Cream, 55ml/1.85oz",https://qudobeauty.com/product/axis-y-biome-ultimate-indulging-cream-55ml-1-85oz/
Moisturizers,"COSRX – Hyaluronic Acid Intensive Cream, 100ml",https://qudobeauty.com/product/cosrx-hyaluronic-acid-intensive-cream-100ml/
Moisturizers,"COSRX – The Retinol 0.1 Cream, 20ml",https://qudobeauty.com/product/cosrx-the-retinol-0-1-cream-20ml/
Moisturizers,"COSRX – Centella Blemish Cream, 30ml",https://qudobeauty.com/product/cosrx-centella-blemish-cream-30ml/
Moisturizers,"COSRX – Advanced Snail 92 All In One Cream, 100ml",https://qudobeauty.com/product/cosrx-advanced-snail-92-all-in-one-cream-100ml/
Moisturizers,"Dr. Althea – 147 Cream Barrier, 50ml",https://qudobeauty.com/product/dr-althea-147-cream-barrier-50-ml/
Serums & Treatments,"ABIB – Heartleaf Essence Calming Pump, 50ml",https://qudobeauty.com/product/abib-heartleaf-essence-calming-pump-50ml/
Serums & Treatments,"Anua – PDRN Hyaluronic Acid Capsule 100 Serum, 30ml",https://qudobeauty.com/product/anua-pdrn-hyaluronic-acid-capsule-100-serum-30ml/
Serums & Treatments,"Anua – Birch 70 Moisture Boosting Serum, 30ml",https://qudobeauty.com/product/anua-birch-70-moisture-boosting-serum-30ml/
Serums & Treatments,"Anua – Niacinamide 10% + Tranexamin Acid 4% Serum, 30ml",https://qudobeauty.com/product/anua-niacinamide-10-tranexamin-acid-4-serum-30-ml/
Serums & Treatments,"Anua – Peach 70 Niacin Serum, 30ml",https://qudobeauty.com/product/anua-peach-70-niacin-serum-30ml/
Serums & Treatments,"Anua – Heartleaf 80% Soothing Ampoule, 30ml",https://qudobeauty.com/product/anua-heartleaf-80-soothing-ampoule-30ml/
Serums & Treatments,"APLB – Glutathione Niacinamide Ampoule Serum, 40ml",https://qudobeauty.com/product/aplb-glutathione-niacinamide-ampoule-serum-40ml/
Serums & Treatments,"AXIS-Y – Artichoke Intensive Skin Barrier Ampoule, 30ml",https://qudobeauty.com/product/axis-y-artichoke-intensive-skin-barrier-ampoule-30ml/
Serums & Treatments,"AXIS-Y – Spot The Difference Blemish Treatment, 15ml / 0.5 fl. oz",https://qudobeauty.com/product/axis-y-spot-the-difference-blemish-treatment-15ml-0-5-fl-oz/
Serums & Treatments,"AXIS-Y – Dark Spot Correcting Glow Serum, 50ml",https://qudobeauty.com/product/axis-y-dark-spot-correcting-glow-serum-50ml/
Toners,"Anua – Rice 70 Glow Milky Toner, 250ml",https://qudobeauty.com/product/anua-rice-70-glow-milky-toner-250ml/
Toners,"Anua – Heartleaf 77% Soothing Toner, 250ml",https://qudobeauty.com/product/anua-heartleaf-77-soothing-toner-250ml/
Toners,"Anua – Birch 70 Moisture Boosting Toner, 250ml",https://qudobeauty.com/product/anua-birch-70-moisture-boosting-toner-250ml/
Toners,"Anua – Peach 77% Niacin Essence Toner, 250ml",https://qudobeauty.com/product/anua-peach-77-niacin-essence-toner-250ml/
Toners,"AXIS-Y – Daily Purifying Treatment Toner, 200ml",https://qudobeauty.com/product/axis-y-daily-purifying-treatment-toner-200ml/
Toners,"Beauty of Joseon – Glow Replenishing Rice Milk, 150ml",https://qudobeauty.com/product/beauty-of-joseon-glow-replenishing-rice-milk-150ml/
Toners,"Beauty of Joseon – Green Plum Refreshing Toner: AHA + BHA, 150ml",https://qudobeauty.com/product/beauty-of-joseon-green-plum-refreshing-toner-aha-bha-150ml/
Toners,"COSRX – AHA/BHA Clarifying Treatment Toner, 150ml",https://qudobeauty.com/product/cosrx-aha-bha-clarifying-treatment-toner-150ml/
Toners,"Dr. Althea Anastatica Skin Conditioning Toner, 250ml",https://qudobeauty.com/product/dr-althea-anastatica-skin-conditioning-toner-250ml/
Toners,"Haruharu Wonder – Black Rice Probiotics Barrier Essence, 120ml",https://qudobeauty.com/product/haruharu-wonder-black-rice-probiotics-barrier-essence-120ml/
Pimple Patches,"APRILSKIN – Carrotene IPMP Clearing Solution, 20ml",https://qudobeauty.com/product/aprilskin-carrotene-ipmp-clearing-solution-20ml/
Pimple Patches,"COSRX – Acne Pimple Master Patch, 24 count",https://qudobeauty.com/product/cosrx-acne-pimple-master-patch-24-count/
Pimple Patches,"COSRX – Clear Fit Master Patch, 1 pack x 18 patches",https://qudobeauty.com/product/cosrx-clear-fit-master-patch-1-pack-x-18-patches/
Pimple Patches,"SKIN1004 – Spot Cover Patch Ultra-thin Patches for Imperfections, 22pcs",https://qudobeauty.com/product/skin1004-spot-cover-patch-ultra-thin-patches-for-imperfections-22pcs/
Pimple Patches,"Pyunkang Yul – Acne Spot Patch Super Thin, 15ea",https://qudobeauty.com/product/pyunkang-yul-acne-spot-patch-super-thin-15ea/
Pimple Patches,SOME BY MI – Clear Spot Patch 18pcs,https://qudobeauty.com/product/some-by-mi-clear-spot-patch-18pcs/
